entity_id,entity_name,GEOID
1128,Adelanto,600296
1129,Agoura Hills,600394
1130,Alameda,600562
1131,Albany,600674
1132,Alhambra,600884
8635,Aliso Viejo,600947
1133,Alturas,601444
1134,Amador,601514
1135,American Canyon,601640
1136,Anaheim,602000
1137,Anderson,602042
1138,Angels Camp,602112
1139,Antioch,602252
1140,Apple Valley,602364
1141,Arcadia,602462
1142,Arcata,602476
1143,Arroyo Grande,602868
1144,Artesia,602896
1145,Arvin,602924
1146,Atascadero,603064
1147,Atherton,603092
1148,Atwater,603162
1149,Auburn,603204
1150,Avalon,603274
1151,Avenal,603302
1152,Azusa,603386
1153,Bakersfield,603526
1154,Baldwin Park,603666
1155,Banning,603820
1156,Barstow,604030
1157,Beaumont,604758
1158,Bell,604870
1160,Bellflower,604982
1159,Bell Gardens,604996
1161,Belmont,605108
1162,Belvedere,605164
1163,Benicia,605290
1164,Berkeley,606000
1165,Beverly Hills,606308
1166,Big Bear Lake,606434
1167,Biggs,606560
1168,Bishop,606798
1169,Blue Lake,607162
1170,Blythe,607218
1171,Bradbury,607946
1172,Brawley,608058
1173,Brea,608100
1174,Brentwood,608142
1175,Brisbane,608310
1176,Buellton,608758
1177,Buena Park,608786
1178,Burbank,608954
1179,Burlingame,609066
1180,Calabasas,609598
1181,Calexico,609710
1182,California City,609780
1183,Calimesa,609864
1184,Calipatria,609878
1185,Calistoga,609892
1186,Camarillo,610046
1187,Campbell,610345
1188,Canyon Lake,610928
1189,Capitola,611040
1190,Carlsbad,611194
1191,Carmel-By-The-Sea,611250
1192,Carpinteria,611446
1193,Carson,611530
1194,Cathedral City,612048
1195,Ceres,612524
1196,Cerritos,612552
1197,Chico,613014
1198,Chino,613210
1199,Chino Hills,613214
1200,Chowchilla,613294
1201,Chula Vista,613392
1202,Citrus Heights,613588
1203,Claremont,613756
1204,Clayton,613882
1205,Clearlake,613945
1206,Cloverdale,614190
1207,Clovis,614218
1208,Coachella,614260
1209,Coalinga,614274
1210,Colfax,614498
1211,Colma,614736
1212,Colton,614890
1213,Colusa,614946
1214,Commerce,614974
1215,Compton,615044
1216,Concord,616000
1217,Corcoran,616224
1218,Corning,616322
1219,Corona,616350
1220,Coronado,616378
1221,Corte Madera,616462
1222,Costa Mesa,616532
1223,Cotati,616560
1224,Covina,616742
1225,Crescent City,617022
1226,Cudahy,617498
1227,Culver City,617568
1228,Cupertino,617610
1229,Cypress,617750
1230,Daly City,617918
1231,Dana Point,617946
1232,Danville,617988
1233,Davis,618100
1236,Delano,618394
1234,Del Mar,618506
1235,Del Rey Oaks,618688
1237,Desert Hot Springs,618996
1238,Diamond Bar,619192
1239,Dinuba,619318
1240,Dixon,619402
1241,Dorris,619584
1242,Dos Palos,619612
1243,Downey,619766
1244,Duarte,619990
1245,Dublin,620018
1246,Dunsmuir,620242
1247,East Palo Alto,620956
10783,Eastvale,621230
